F148W,F169M,F172M,N219M,N279N,f275w,f336w,f475w,f814w,f110w,f160w,age,Z
7.58284E-22,7.83778E-22,7.92606E-22,8.31636E-22,8.57094E-22,8.5288E-22,9.7359E-22,2.1769E-21,2.22014E-21,2.27319E-21,2.31431E-21,1.59E+08,0.00155
4.07302E-22,4.32748E-22,4.469E-22,4.95805E-22,5.4346E-22,5.39369E-22,6.59975E-22,1.64746E-21,1.67137E-21,1.69668E-21,1.7312E-21,2.51E+08,0.00155
2.03773E-22,2.22952E-22,2.33671E-22,2.7828E-22,3.29359E-22,3.25751E-22,4.43104E-22,1.22933E-21,1.28422E-21,1.29802E-21,1.29816E-21,3.98E+08,0.00155
9.1184E-23,1.04894E-22,1.13375E-22,1.45177E-22,1.86458E-22,1.8465E-22,2.86432E-22,8.7974E-22,1.0339E-21,1.11653E-21,1.16677E-21,6.31E+08,0.00155
3.26308E-23,4.14968E-23,5.02736E-23,7.20019E-23,1.01512E-22,1.02122E-22,1.81675E-22,6.18973E-22,7.99858E-22,8.85209E-22,9.38713E-22,1.00E+09,0.00155
6.59881E-24,1.01857E-23,1.83836E-23,3.40499E-23,5.48481E-23,5.64755E-23,1.38322E-22,7.64329E-22,2.11256E-21,3.19267E-21,4.04351E-21,1.59E+09,0.00155
7.89196E-25,1.28477E-24,4.27211E-24,1.54704E-23,2.8659E-23,2.95463E-23,7.07213E-23,2.75261E-22,4.85128E-22,5.58998E-22,6.08313E-22,2.51E+09,0.00155
1.85664E-25,2.98733E-25,1.1688E-24,7.19052E-24,1.56288E-23,1.65779E-23,4.60103E-23,1.79699E-22,3.48766E-22,4.06646E-22,4.50004E-22,3.98E+09,0.00155
4.4612E-26,7.13528E-26,3.05785E-25,3.44542E-24,8.64158E-24,9.4314E-24,3.37005E-23,3.05069E-22,1.46396E-21,2.29506E-21,3.11375E-21,6.31E+09,0.00155
1.03661E-26,1.63061E-26,7.45921E-26,1.60983E-24,5.20842E-24,6.13232E-24,4.17628E-23,5.92856E-22,2.27649E-21,3.17384E-21,3.98004E-21,1.00E+10,0.00155
2.70301E-27,4.22749E-27,1.88648E-26,9.0284E-25,4.25214E-24,6.28986E-24,5.98432E-23,6.66626E-22,2.21332E-21,2.92039E-21,3.37054E-21,1.59E+10,0.00155
7.10265E-20,6.66441E-20,6.58325E-20,5.59891E-20,4.36304E-20,4.58998E-20,4.16069E-20,8.94298E-20,1.14313E-19,1.11501E-19,1.00643E-19,3.98E+06,0.00274
4.36325E-20,4.11296E-20,4.15203E-20,3.62317E-20,2.95292E-20,3.05053E-20,2.60742E-20,3.2161E-20,2.32145E-20,1.89307E-20,1.50423E-20,6.31E+06,0.00274
2.62856E-20,2.4523E-20,2.4596E-20,2.15375E-20,1.80406E-20,1.84862E-20,1.5673E-20,1.63914E-20,8.74941E-21,5.99535E-21,4.15569E-21,1.00E+07,0.00274
1.35593E-20,1.30189E-20,1.2937E-20,1.15036E-20,9.9624E-21,1.01383E-20,8.82476E-21,1.01501E-20,8.57872E-21,8.95567E-21,9.62264E-21,1.59E+07,0.00274
