F148W,F169M,F172M,N219M,N279N,u_prime,g_prime,r_prime,i_prime,z_prime,IRAC1,IRAC2,age,Z
2.10E-26,3.25E-26,1.36E-25,2.29E-24,6.13E-24,3.30291E-23,1.38939E-22,3.34253E-22,5.27923E-22,7.08303E-22,4.9689E-22,2.11255E-22,6.31E+09,0.00274
4.44E-27,6.82E-27,3.14E-26,1.02E-24,3.45E-24,4.41241E-23,4.42288E-22,1.26637E-21,1.80048E-21,2.2121E-21,1.20154E-21,5.09925E-22,1.00E+10,0.00274
9.53E-28,1.48E-27,6.65E-27,4.59E-25,2.17E-24,4.90859E-23,4.60497E-22,1.24497E-21,1.78222E-21,2.1891E-21,1.1263E-21,4.75856E-22,1.59E+10,0.00274
8.09E-20,7.50E-20,7.60E-20,6.70E-20,5.24E-20,4.48548E-20,5.67266E-20,6.76212E-20,7.18561E-20,7.50497E-20,1.87945E-20,8.71465E-21,3.98E+06,0.00483
4.07E-20,3.75E-20,3.81E-20,3.36E-20,2.71E-20,2.71954E-20,4.04542E-20,4.17497E-20,3.76311E-20,3.87053E-20,8.80226E-21,4.07866E-21,6.31E+06,0.00483
2.39E-20,2.22E-20,2.24E-20,2.02E-20,1.69E-20,1.63729E-20,1.96813E-20,1.64622E-20,1.43917E-20,1.3421E-20,2.75601E-21,1.22735E-21,1.00E+07,0.00483
1.28E-20,1.23E-20,1.23E-20,1.09E-20,9.48E-21,8.63981E-21,9.56628E-21,8.61505E-21,8.3912E-21,8.54265E-21,3.75586E-21,1.54086E-21,1.59E+07,0.00483
6.58E-21,6.30E-21,6.30E-21,5.69E-21,4.90E-21,4.29053E-21,5.67944E-21,7.5334E-21,8.68648E-21,1.02281E-20,5.67761E-21,2.43708E-21,2.51E+07,0.00483
3.75E-21,3.70E-21,3.72E-21,3.52E-21,3.22E-21,3.32584E-21,5.2631E-21,5.80895E-21,6.24764E-21,6.94235E-21,3.37598E-21,1.44969E-21,3.98E+07,0.00483
2.11E-21,2.13E-21,2.15E-21,2.13E-21,2.05E-21,2.28499E-21,3.78516E-21,3.72527E-21,3.77668E-21,3.74385E-21,1.28211E-21,5.62972E-22,6.31E+07,0.00483
1.17E-21,1.22E-21,1.23E-21,1.29E-21,1.30E-21,1.58476E-21,2.86907E-21,2.80675E-21,2.79869E-21,2.81917E-21,1.14643E-21,5.65077E-22,1.00E+08,0.00483
6.31E-22,6.73E-22,6.88E-22,7.57E-22,8.06E-22,1.08821E-21,2.12298E-21,2.15416E-21,2.14113E-21,2.18355E-21,8.97031E-22,4.14084E-22,1.59E+08,0.00483
3.18E-22,3.50E-22,3.65E-22,4.20E-22,4.72E-22,7.19923E-22,1.54332E-21,1.60381E-21,1.64279E-21,1.68359E-21,6.54098E-22,2.97871E-22,2.51E+08,0.00483
1.45E-22,1.64E-22,1.79E-22,2.19E-22,2.63E-22,4.60858E-22,1.1125E-21,1.19996E-21,1.22439E-21,1.28607E-21,5.57361E-22,2.64182E-22,3.98E+08,0.00483
4.87E-23,6.25E-23,7.74E-23,1.05E-22,1.38E-22,2.8967E-22,7.96527E-22,9.10118E-22,9.67365E-22,1.03771E-21,6.50315E-22,3.59639E-22,6.31E+08,0.00483
8.93E-24,1.39E-23,2.63E-23,4.78E-23,6.98E-23,1.82406E-22,5.47202E-22,6.87528E-22,7.5653E-22,8.19955E-22,4.90057E-22,2.58477E-22,1.00E+09,0.00483
9.41E-25,1.58E-24,5.47E-24,1.96E-23,3.35E-23,1.08211E-22,3.42499E-22,5.04684E-22,5.94064E-22,6.71593E-22,3.99165E-22,2.0303E-22,1.59E+09,0.00483
1.27E-25,2.07E-25,8.49E-25,7.27E-24,1.54E-23,6.48933E-23,2.10402E-22,3.48007E-22,4.30596E-22,4.86235E-22,2.33763E-22,1.02189E-22,2.51E+09,0.00483
3.93E-26,5.95E-26,2.21E-25,3.20E-24,7.71E-24,4.04335E-23,1.38594E-22,2.4738E-22,3.08839E-22,3.59709E-22,1.70239E-22,7.36866E-23,3.98E+09,0.00483
6.76E-27,1.06E-26,4.83E-26,1.36E-24,3.90E-24,2.45559E-23,8.90766E-23,1.61327E-22,2.0658E-22,2.39847E-22,1.11913E-22,4.87501E-23,6.31E+09,0.00483
1.38E-27,2.09E-27,9.60E-27,5.36E-25,1.97E-24,2.11673E-23,2.15944E-22,6.84802E-22,1.04088E-21,1.3465E-21,9.15179E-22,3.92825E-22,1.00E+10,0.00483
2.47E-28,3.84E-28,1.72E-27,1.84E-25,1.09E-24,3.05819E-23,3.56416E-22,1.04188E-21,1.49273E-21,1.85823E-21,1.03248E-21,4.43921E-22,1.59E+10,0.00483
7.70E-20,7.22E-20,7.36E-20,6.69E-20,5.32E-20,4.82347E-20,5.42993E-20,4.30369E-20,3.72891E-20,3.31196E-20,5.57713E-21,2.58911E-21,3.98E+06,0.00847
3.88E-20,3.53E-20,3.60E-20,3.16E-20,2.45E-20,2.23328E-20,3.55454E-20,4.63725E-20,5.23092E-20,5.51748E-20,1.71926E-20,7.67914E-21,6.31E+06,0.00847
2.13E-20,1.98E-20,2.01E-20,1.81E-20,1.53E-20,1.48029E-20,1.85935E-20,1.81097E-20,1.77217E-20,1.773E-20,6.00963E-21,2.51115E-21,1.00E+07,0.00847
1.16E-20,1.11E-20,1.13E-20,1.05E-20,9.33E-21,8.81187E-21,1.03265E-20,9.06127E-21,9.06285E-21,9.33433E-21,4.5919E-21,1.75954E-21,1.59E+07,0.00847
6.08E-21,5.87E-21,5.99E-21,5.58E-21,4.92E-21,4.37879E-21,5.68433E-21,6.91424E-21,8.23597E-21,1.00951E-20,6.00905E-21,2.48293E-21,2.51E+07,0.00847
3.49E-21,3.49E-21,3.56E-21,3.51E-21,3.31E-21,3.49755E-21,5.2776E-21,5.1875E-21,5.70337E-21,6.52841E-21,3.5334E-21,1.51959E-21,3.98E+07,0.00847
1.93E-21,1.99E-21,2.03E-21,2.08E-21,2.06E-21,2.36009E-21,3.95328E-21,3.7218E-21,3.59889E-21,3.59484E-21,1.22202E-21,5.14929E-22,6.31E+07,0.00847
1.04E-21,1.11E-21,1.13E-21,1.22E-21,1.26E-21,1.57899E-21,2.84284E-21,2.76579E-21,2.71342E-21,2.70373E-21,1.21224E-21,5.79147E-22,1.00E+08,0.00847
5.44E-22,5.92E-22,6.12E-22,6.90E-22,7.45E-22,1.03269E-21,2.03432E-21,2.08271E-21,2.08181E-21,2.15053E-21,9.63745E-22,4.38572E-22,1.59E+08,0.00847
