f275w_ul,f275w_vega,f275w_err_orig,f275w_err,,f336w_ul,f336w_vega,f336w_err_orig,f336w_err,,f475w_ul,f475w_vega,f475w_err_orig,f475w_err,,f814w_ul,f814w_vega,f814w_err_orig,f814w_err,,f110w_ul,f110w_vega,f110w_err_orig,f110w_err,,f160w_ul,f160w_vega,f160w_err_orig,f160w_err,,F148W_ul,F148W_AB,F148W_err,,F172M_ul,F172M_AB,F172M_err,,N219M_ul,N219M_AB,N219M_err,,N279N_ul,N279N_AB,N279N_err,,F169M_ul,F169M_AB,F169M_err_orig,F169M_err
 ,19.72,0.07,0.07,, ,19.65,0.04,0.04,, ,20.2,0.05,0.05,, ,19.36,0.25,0.25,,>,19.06,,0.01,,>,18.08,,0.01,,,21.51202425,0.044740789,,,22.3261627,0.19154639,,,21.87450511,0.185753492,,,,,,,,,0.01
 ,19.72,0.07,0.07,, ,19.65,0.04,0.04,, ,20.2,0.05,0.05,, ,19.36,0.25,0.25,,>,19.06,,0.01,,>,18.08,,0.01,,,21.90858987,0.123995222,,,20.81051414,0.116989495,,,20.70454322,0.143724705,,,,,,,,,0.01
 ,19.2,0.07,0.07,, ,19.17,0.02,0.02,, ,19.41,0.04,0.04,, ,19.36,0.25,0.25,,>,18.46,,0.01,,>,17.17,,0.01,,,21.31066203,0.041930246,,,21.68184224,0.144476041,,,20.84571501,0.118031792,,,,,,,,,0.01
 ,19.09,0.03,0.03,, ,19.22,0.03,0.03,, ,20.4,0.06,0.06,, ,19.83,0.15,0.15,,>,19.28,,0.01,,>,18.24,,0.01,,,20.8419692,0.080558168,,,20.71271143,0.112374046,,,20.23200362,0.117883499,,,,,,,,,0.01
 ,18.86,0.01,0.01,, ,18.96,0.02,0.02,, ,19.83,0.05,0.05,, ,19.89,0.07,0.07,,>,19.13,,0.01,,>,17.93,,0.01,,,20.67042599,0.035008539,,,21.11826875,0.113879027,,,20.30595472,0.093962067,,,,,,,,,0.01
 ,18.59,0.01,0.01,, ,18.52,0.02,0.02,, ,18.99,0.03,0.03,, ,17.89,0.04,0.04,, ,17.03,0.11,0.11,, ,16.23,0.05,0.05,,,20.88677206,0.077068765,,,20.59374589,0.078270955,,,20.87131902,0.118538072,,,,,,,19.83306084,0.071815733,0.071815733
 ,18.59,0.01,0.01,, ,18.52,0.02,0.02,, ,18.99,0.03,0.03,, ,17.89,0.04,0.04,, ,17.03,0.11,0.11,, ,16.23,0.05,0.05,,,20.8372316,0.086643,,,20.56468212,0.113316729,,,20.84508152,0.116552555,,,,,,,,,0.01
 ,17.59,0.05,0.05,, ,17.58,0.06,0.06,, ,18.72,0.09,0.09,, ,18.06,0.24,0.24,, ,17.75,0.36,0.36,,>,16.9,,0.01,,,19.91887905,0.029907893,,,20.15764059,0.078403356,,,20.13956048,0.087767114,,,,,,,,,0.01
 ,16.7,0.02,0.02,, ,15.91,0.01,0.01,, ,15.62,0.01,0.01,, ,14.12,0.01,0.01,, ,13.56,0.03,0.03,, ,12.88,0.03,0.03,,,20.01227081,0.073263356,,,19.83797133,0.059338387,,,19.31997859,0.064996844,,,,,,,18.80586114,0.049230921,0.049230921
 ,17.97,0.01,0.01,, ,17.53,0.06,0.06,, ,17.93,0.03,0.03,, ,16.89,0.03,0.03,, ,16.49,0.05,0.05,, ,16.17,0.09,0.09,,,20.0111136,0.030395653,,,20.83074438,0.101319758,,,20.43502279,0.09914143,,,,,,,,,0.01
