F148W,F169M,F172M,N219M,N279N,f275w,f336w,f475w,f814w,f110w,f160w,,,ageuniq,Zuniq,ageconv,Zconv
1.34631E-22,1.4968E-22,1.59278E-22,1.98352E-22,2.46718E-22,2.43427E-22,3.5299E-22,2.19538E-21,1.12387E-21,1.15708E-21,1.15601E-21,,,522000000,0.00076,0.87176705,-1.435156753
4.70617E-23,5.68736E-23,6.45962E-23,8.90769E-23,1.22419E-22,1.22462E-22,2.07714E-22,1.45195E-21,8.60604E-22,9.60401E-22,1.00142E-21,,,897000000,0.00129,0.895279244,-1.205380635
9.41025E-24,1.33912E-23,2.18153E-23,3.7866E-23,6.1767E-23,6.35445E-23,1.43238E-22,1.18726E-21,9.16105E-22,1.08375E-21,1.17769E-21,,,1540000000,0.00218,0.918752072,-0.977513852
7.791E-25,1.27302E-24,4.20111E-24,1.50553E-23,2.85328E-23,2.92014E-23,7.05423E-23,5.78537E-22,4.77426E-22,5.45068E-22,5.86165E-22,,,2650000000,0.00368,0.942324587,-0.750122527
1.49255E-25,2.39417E-25,9.51085E-25,6.44398E-24,1.43768E-23,1.50673E-23,4.19573E-23,3.42285E-22,3.1453E-22,3.63077E-22,3.96895E-22,,,4560000000,0.00619,0.965896484,-0.524279696
2.68442E-26,4.34586E-26,1.91743E-25,2.72449E-24,7.78514E-24,8.8811E-24,4.8142E-23,1.25795E-21,2.13067E-21,2.86633E-21,3.46307E-21,,,7840000000,0.01035,0.989431606,-0.301029996
5.07377E-27,7.93678E-27,3.61052E-26,1.18759E-24,4.74177E-24,5.90924E-24,5.15751E-23,1.38474E-21,2.28305E-21,3.06328E-21,3.66093E-21,,,13500000000,0.01712,1.013033377,-0.082466585
7.10435E-20,6.62035E-20,6.48532E-20,5.3573E-20,4.11537E-20,4.34823E-20,3.94385E-20,1.85016E-19,1.19764E-19,1.16528E-19,1.04182E-19,,,3980000,0.00016,0.659988307,-2.111850363
4.21081E-20,3.93071E-20,3.92656E-20,3.50557E-20,2.8752E-20,2.96308E-20,2.4908E-20,5.75108E-20,1.59883E-20,1.14708E-20,8.10837E-21,,,6840000,0.00026,0.68350561,-1.900996997
2.07564E-20,1.93578E-20,1.96948E-20,1.74445E-20,1.43944E-20,1.48638E-20,1.26745E-20,2.89434E-20,7.72513E-21,5.51357E-21,3.99467E-21,,,11800000,0.00045,0.707188201,-1.662757832
9.84641E-21,9.48832E-21,9.37866E-21,8.42876E-21,7.34468E-21,7.49776E-21,6.71312E-21,1.73059E-20,7.52173E-21,8.13082E-21,8.86712E-21,,,20200000,0.00076,0.730535137,-1.435156753
4.86255E-21,4.73596E-21,4.69506E-21,4.31855E-21,3.87569E-21,3.93444E-21,3.71226E-21,1.35422E-20,7.25229E-21,8.08934E-21,9.24174E-21,,,34800000,0.00129,0.754157924,-1.205380635
2.47116E-21,2.46445E-21,2.45471E-21,2.35584E-21,2.21603E-21,2.23003E-21,2.23507E-21,9.0571E-21,4.03387E-21,3.91658E-21,3.87243E-21,,,59800000,0.00218,0.777670118,-0.977513852
